nama,tipe_node,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8
Adventure,Genre,0.09699627012014389,1.1155338287353516,0.9580879211425781,-0.019987694919109344,0.030248180031776428,-0.19234007596969604,0.2647254765033722,0.4876692295074463
Action,Genre,0.0742802619934082,-0.32576867938041687,-0.2152206003665924,0.9861326217651367,0.3724825978279114,-1.3206608295440674,0.17563487589359283,1.4962105751037598
Comedy,Genre,1.1779900789260864,0.6400888562202454,-0.1954735666513443,0.6632266044616699,-0.24579858779907227,0.18158824741840363,-0.5021576881408691,1.211973786354065
Horror,Genre,-0.3908858001232147,0.38559770584106445,-0.160334974527359,-0.021203622221946716,-0.955342173576355,-0.2553367018699646,-0.12760931253433228,1.6632585525512695
Biography,Genre,-0.023005634546279907,0.19818361103534698,0.8727191686630249,-0.24060794711112976,-1.492406964302063,0.2034655064344406,-0.8485925793647766,-0.682259202003479
Crime,Genre,-0.9346411824226379,-0.0920199528336525,0.7327206134796143,-0.03501458466053009,-0.0010827560909092426,-1.089723825454712,-0.4574112296104431,0.5301865339279175
Fantasy,Genre,1.2290173768997192,1.783020257949829,-0.4179654121398926,-0.007620576769113541,-0.2606202960014343,-0.32448142766952515,-0.4742470681667328,-0.14944666624069214
Family,Genre,0.779790997505188,-0.15772728621959686,-0.8911298513412476,-1.295684814453125,0.8931697010993958,-0.39763596653938293,-0.03769181668758392,0.2247992604970932
Sci-Fi,Genre,0.23379147052764893,-0.3403158485889435,0.6075931787490845,0.8033903241157532,0.1663995087146759,-1.4827229976654053,0.13491132855415344,-0.22544069588184357
Animation,Genre,0.6788256168365479,-0.8128104209899902,0.07238622009754181,0.23872148990631104,0.060148369520902634,-0.03713926672935486,0.008456332609057426,-0.7269936800003052
Stanley Kubrick,Director,0.7022636532783508,0.8858122825622559,0.24968354403972626,-0.26273611187934875,0.5352157354354858,0.01973467692732811,-1.316408634185791,0.2817119061946869
Randal Kleiser,Director,0.5884851217269897,-0.05552663654088974,0.7015069723129272,0.1547556221485138,-0.7619106769561768,-0.616752564907074,-0.07129999250173569,0.48832160234451294
Irvin Kershner,Director,-0.0023169410414993763,-0.9578530192375183,-0.37668848037719727,0.33283135294914246,-0.34583744406700134,-1.1027116775512695,0.9423763155937195,0.7389659881591797
Jim Abrahams,Director,0.5568939447402954,-0.4324744939804077,-0.5464104413986206,-0.21206779778003693,-0.11387566477060318,-1.069744348526001,0.7596133947372437,0.8851373195648193
